method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
upsample_clean_ounet_selected10,N_Acc,nan,nan,10
upsample_clean_ounet_selected10,N_Comp,nan,nan,10
upsample_clean_ounet_selected10,normals,nan,nan,10
upsample_clean_ounet_selected10,CD_Acc,23.264428612987423,1.2495728720121715,10
upsample_clean_ounet_selected10,CD_Comp,27.18431298493103,1.3725936412236701,10
upsample_clean_ounet_selected10,chamferL2_old,25.224370798959225,1.202612048260316,10
upsample_clean_ounet_selected10,chamfer-L1,50.44874159791845,2.405224096520632,10
upsample_clean_ounet_selected10,chamfer-L2,2171.2229448105545,168.01590352872486,10
upsample_clean_ounet_selected10,P_5,0.13783455491006702,0.00757236582454716,10
upsample_clean_ounet_selected10,R_5,0.1416434391773616,0.012298650023010178,10
upsample_clean_ounet_selected10,F_5,0.13964408374781756,0.009627233125878048,10
upsample_clean_ounet_selected10,P_10,0.26437757420295954,0.014265104445783303,10
upsample_clean_ounet_selected10,R_10,0.3080367487127549,0.016383649119993595,10
upsample_clean_ounet_selected10,F_10,0.284492918798389,0.014792990595772689,10
upsample_clean_ounet_selected10,P_20,0.49899219013912494,0.024320180575422547,10
upsample_clean_ounet_selected10,R_20,0.4888276524213853,0.028928251065732984,10
upsample_clean_ounet_selected10,F_20,0.4937007541075517,0.025398738656771513,10
